sample_type	sampleID	PPP1R1A
Solid Tissue Normal	TCGA-G9-6499-11	7.2702
Primary Tumor	TCGA-G9-7509-01	6.2211
Primary Tumor	TCGA-G9-7510-01	6.5082
Primary Tumor	TCGA-G9-7519-01	4.3689
Primary Tumor	TCGA-G9-7521-01	3.7361
Primary Tumor	TCGA-G9-7522-01	6.576
Primary Tumor	TCGA-G9-7523-01	8.0657
Primary Tumor	TCGA-G9-7525-01	4.1234
Primary Tumor	TCGA-G9-A9S0-01	4.0074
Primary Tumor	TCGA-G9-A9S4-01	4.2797
Primary Tumor	TCGA-G9-A9S7-01	6.2118
Primary Tumor	TCGA-H9-7775-01	5.4953
Primary Tumor	TCGA-H9-A6BX-01	8.6594
Primary Tumor	TCGA-H9-A6BY-01	5.4117
Primary Tumor	TCGA-HC-7075-01	3.076
Primary Tumor	TCGA-HC-7077-01	1.8004
Primary Tumor	TCGA-HC-7078-01	2.7419
Primary Tumor	TCGA-HC-7079-01	3.0397
Primary Tumor	TCGA-HC-7080-01	4.0989
Primary Tumor	TCGA-HC-7081-01	5.0529
Primary Tumor	TCGA-HC-7209-01	4.7307
Primary Tumor	TCGA-HC-7210-01	5.9476
Primary Tumor	TCGA-HC-7211-01	3.6095
Solid Tissue Normal	TCGA-HC-7211-11	6.4624
Primary Tumor	TCGA-HC-7212-01	2.5284
Primary Tumor	TCGA-HC-7213-01	3.3589
Primary Tumor	TCGA-HC-7230-01	3.1011
Primary Tumor	TCGA-HC-7231-01	3.2215
Primary Tumor	TCGA-HC-7232-01	6.452
Primary Tumor	TCGA-HC-7233-01	4.2728
Primary Tumor	TCGA-HC-7736-01	4.2392
Primary Tumor	TCGA-HC-7737-01	4.9169
Solid Tissue Normal	TCGA-HC-7737-11	5.5235
Primary Tumor	TCGA-HC-7738-01	5.8919
Solid Tissue Normal	TCGA-HC-7738-11	7.2024
Primary Tumor	TCGA-HC-7740-01	6.9231
Solid Tissue Normal	TCGA-HC-7740-11	5.7046
Primary Tumor	TCGA-HC-7742-01	5.7117
Solid Tissue Normal	TCGA-HC-7742-11	6.2288
Primary Tumor	TCGA-HC-7744-01	4.6943
Primary Tumor	TCGA-HC-7745-01	4.6225
Solid Tissue Normal	TCGA-HC-7745-11	5.376
Primary Tumor	TCGA-HC-7747-01	5.0545
Solid Tissue Normal	TCGA-HC-7747-11	6.6349
Primary Tumor	TCGA-HC-7748-01	3.2822
Primary Tumor	TCGA-HC-7749-01	2.3315
Primary Tumor	TCGA-HC-7750-01	5.5438
Primary Tumor	TCGA-HC-7752-01	5.4834
Solid Tissue Normal	TCGA-HC-7752-11	8.8816
Primary Tumor	TCGA-HC-7817-01	4.8398
Primary Tumor	TCGA-HC-7818-01	6.7227
Primary Tumor	TCGA-HC-7819-01	3.2347
Solid Tissue Normal	TCGA-HC-7819-11	6.7625
Primary Tumor	TCGA-HC-7820-01	5.4685
Primary Tumor	TCGA-HC-7821-01	2.174
Primary Tumor	TCGA-HC-8213-01	2.7957
Primary Tumor	TCGA-HC-8216-01	3.8488
Primary Tumor	TCGA-HC-8256-01	4.406
Primary Tumor	TCGA-HC-8257-01	2.6408
Primary Tumor	TCGA-HC-8258-01	6.0534
Solid Tissue Normal	TCGA-HC-8258-11	5.0564
Primary Tumor	TCGA-HC-8259-01	5.7551
Solid Tissue Normal	TCGA-HC-8259-11	7.4363
Primary Tumor	TCGA-HC-8260-01	5.7352
Solid Tissue Normal	TCGA-HC-8260-11	6.4926
Primary Tumor	TCGA-HC-8261-01	5.2093
Primary Tumor	TCGA-HC-8262-01	3.6824
Solid Tissue Normal	TCGA-HC-8262-11	5.9824
Primary Tumor	TCGA-HC-8264-01	3.0504
Primary Tumor	TCGA-HC-8265-01	5.2388
Primary Tumor	TCGA-HC-8266-01	5.3013
Primary Tumor	TCGA-HC-A48F-01	3.1512
Primary Tumor	TCGA-HC-A4ZV-01	1.2546
Primary Tumor	TCGA-HC-A631-01	2.1171
Primary Tumor	TCGA-HC-A632-01	3.96
Primary Tumor	TCGA-HC-A6AL-01	6.9477
Primary Tumor	TCGA-HC-A6AN-01	6.6986
Primary Tumor	TCGA-HC-A6AO-01	5.4455
Primary Tumor	TCGA-HC-A6AP-01	8.7792
Primary Tumor	TCGA-HC-A6AQ-01	7.1164
Primary Tumor	TCGA-HC-A6AS-01	7.6954
Primary Tumor	TCGA-HC-A6HX-01	7.9592
Primary Tumor	TCGA-HC-A6HY-01	5.687
Primary Tumor	TCGA-HC-A76W-01	5.3084
Primary Tumor	TCGA-HC-A76X-01	5.0957
Primary Tumor	TCGA-HC-A8CY-01	3.1644
Primary Tumor	TCGA-HC-A8D0-01	6.615
Primary Tumor	TCGA-HC-A8D1-01	4.5208
Primary Tumor	TCGA-HC-A9TE-01	3.5228
Primary Tumor	TCGA-HC-A9TH-01	2.8209
Primary Tumor	TCGA-HI-7168-01	6.1386
Primary Tumor	TCGA-HI-7169-01	10.0868
Primary Tumor	TCGA-HI-7170-01	7.874
Primary Tumor	TCGA-HI-7171-01	2.6898
Primary Tumor	TCGA-J4-8198-01	4.99
Primary Tumor	TCGA-J4-8200-01	7.5373
Primary Tumor	TCGA-J4-A67K-01	3.8593
Primary Tumor	TCGA-J4-A67L-01	5.7165
Primary Tumor	TCGA-J4-A67M-01	5.9425
Primary Tumor	TCGA-J4-A67N-01	4.5042
Primary Tumor	TCGA-J4-A67O-01	9.542
Primary Tumor	TCGA-J4-A67Q-01	8.42
Primary Tumor	TCGA-J4-A67R-01	7.3014
Primary Tumor	TCGA-J4-A67S-01	6.4643
Primary Tumor	TCGA-J4-A67T-01	6.1021
Primary Tumor	TCGA-J4-A6G1-01	6.6678
Primary Tumor	TCGA-J4-A6G3-01	5.6584
Primary Tumor	TCGA-J4-A6M7-01	6.4157
Primary Tumor	TCGA-J4-A83I-01	2.6767
Primary Tumor	TCGA-J4-A83J-01	4.8052
Solid Tissue Normal	TCGA-J4-A83J-11	7.4841
Primary Tumor	TCGA-J4-A83K-01	6.1746
Primary Tumor	TCGA-J4-A83L-01	6.6582
Primary Tumor	TCGA-J4-A83M-01	4.6704
Primary Tumor	TCGA-J4-A83N-01	5.3205
Primary Tumor	TCGA-J4-AATV-01	6.0911
Primary Tumor	TCGA-J4-AATZ-01	3.2377
Primary Tumor	TCGA-J4-AAU2-01	5.9745
Primary Tumor	TCGA-J9-A52B-01	4.4492
Primary Tumor	TCGA-J9-A52C-01	6.8097
Primary Tumor	TCGA-J9-A52D-01	1.5054
Primary Tumor	TCGA-J9-A52E-01	3.5089
Primary Tumor	TCGA-J9-A8CK-01	4.5827
Primary Tumor	TCGA-J9-A8CL-01	2.1254
Primary Tumor	TCGA-J9-A8CM-01	6.0034
Primary Tumor	TCGA-J9-A8CN-01	2.837
Primary Tumor	TCGA-J9-A8CP-01	3.9474
Primary Tumor	TCGA-KC-A4BL-01	5.3576
Primary Tumor	TCGA-KC-A4BN-01	4.287
Primary Tumor	TCGA-KC-A4BR-01	7.3024
Primary Tumor	TCGA-KC-A4BV-01	6.224
Primary Tumor	TCGA-KC-A7F3-01	5.4665
Primary Tumor	TCGA-KC-A7F5-01	4.3911
Primary Tumor	TCGA-KC-A7F6-01	6.4442
Primary Tumor	TCGA-KC-A7FA-01	5.0939
Primary Tumor	TCGA-KC-A7FD-01	3.8745
Primary Tumor	TCGA-KC-A7FE-01	7.2018
Primary Tumor	TCGA-KK-A59V-01	3.6545
Primary Tumor	TCGA-KK-A59X-01	6.4666
Primary Tumor	TCGA-KK-A59Y-01	3.298
Primary Tumor	TCGA-KK-A59Z-01	6.0292
Primary Tumor	TCGA-KK-A5A1-01	3.447
Primary Tumor	TCGA-KK-A6DY-01	4.9102
Primary Tumor	TCGA-KK-A6E0-01	5.3986
Primary Tumor	TCGA-KK-A6E1-01	1.256
Primary Tumor	TCGA-KK-A6E2-01	3.9443
Primary Tumor	TCGA-KK-A6E3-01	8.5149
