sample_type	sampleID	RELN
Primary Tumor	TCGA-V1-A9OL-01	5.8166
Primary Tumor	TCGA-V1-A9OQ-01	5.1089
Primary Tumor	TCGA-V1-A9OT-01	5.76
Primary Tumor	TCGA-V1-A9OX-01	7.8981
Primary Tumor	TCGA-V1-A9OY-01	5.9563
Primary Tumor	TCGA-V1-A9Z7-01	9.6957
Primary Tumor	TCGA-V1-A9Z8-01	7.6085
Primary Tumor	TCGA-V1-A9Z9-01	7.4529
Primary Tumor	TCGA-V1-A9ZG-01	7.3661
Primary Tumor	TCGA-V1-A9ZI-01	11.9191
Primary Tumor	TCGA-V1-A9ZK-01	8.5824
Primary Tumor	TCGA-V1-A9ZR-01	6.0775
Primary Tumor	TCGA-VN-A88I-01	8.4764
Primary Tumor	TCGA-VN-A88K-01	5.1748
Primary Tumor	TCGA-VN-A88L-01	7.9454
Primary Tumor	TCGA-VN-A88M-01	7.47
Primary Tumor	TCGA-VN-A88N-01	7.9667
Primary Tumor	TCGA-VN-A88O-01	6.7629
Primary Tumor	TCGA-VN-A88P-01	6.8155
Primary Tumor	TCGA-VN-A88Q-01	7.4751
Primary Tumor	TCGA-VN-A88R-01	8.0846
Primary Tumor	TCGA-VN-A943-01	5.461
Primary Tumor	TCGA-VP-A872-01	6.9517
Primary Tumor	TCGA-VP-A875-01	12.8556
Primary Tumor	TCGA-VP-A876-01	6.6482
Primary Tumor	TCGA-VP-A878-01	6.8407
Primary Tumor	TCGA-VP-A879-01	5.4609
Primary Tumor	TCGA-VP-A87B-01	7.7939
Primary Tumor	TCGA-VP-A87C-01	5.6003
Primary Tumor	TCGA-VP-A87D-01	10.4834
Primary Tumor	TCGA-VP-A87E-01	6.6758
Primary Tumor	TCGA-VP-A87H-01	5.447
Primary Tumor	TCGA-VP-A87J-01	8.6889
Primary Tumor	TCGA-VP-A87K-01	7.6645
Primary Tumor	TCGA-VP-AA1N-01	6.408
Primary Tumor	TCGA-WW-A8ZI-01	9.5379
Primary Tumor	TCGA-X4-A8KQ-01	7.284
Primary Tumor	TCGA-X4-A8KS-01	6.9949
