sample_type	sampleID	ADRA1A
Solid Tissue Normal	TCGA-G9-6499-11	7.151
Primary Tumor	TCGA-G9-7509-01	6.0074
Primary Tumor	TCGA-G9-7510-01	5.603
Primary Tumor	TCGA-G9-7519-01	5.7953
Primary Tumor	TCGA-G9-7521-01	4.4653
Primary Tumor	TCGA-G9-7522-01	6.2889
Primary Tumor	TCGA-G9-7523-01	7.1909
Primary Tumor	TCGA-G9-7525-01	4.4357
Primary Tumor	TCGA-G9-A9S0-01	2.0972
Primary Tumor	TCGA-G9-A9S4-01	3.2584
Primary Tumor	TCGA-G9-A9S7-01	1.787
Primary Tumor	TCGA-H9-7775-01	5.5164
Primary Tumor	TCGA-H9-A6BX-01	7.8464
Primary Tumor	TCGA-H9-A6BY-01	3.9232
Primary Tumor	TCGA-HC-7075-01	4.5229
Primary Tumor	TCGA-HC-7077-01	2.65
Primary Tumor	TCGA-HC-7078-01	3.5778
Primary Tumor	TCGA-HC-7079-01	4.9772
Primary Tumor	TCGA-HC-7080-01	2.0598
Primary Tumor	TCGA-HC-7081-01	5.9291
Primary Tumor	TCGA-HC-7209-01	3.8241
Primary Tumor	TCGA-HC-7210-01	5.2533
Primary Tumor	TCGA-HC-7211-01	4.106
Solid Tissue Normal	TCGA-HC-7211-11	5.6581
Primary Tumor	TCGA-HC-7212-01	3.4822
Primary Tumor	TCGA-HC-7213-01	2.8185
Primary Tumor	TCGA-HC-7230-01	4.6623
Primary Tumor	TCGA-HC-7231-01	3.3804
Primary Tumor	TCGA-HC-7232-01	5.8779
Primary Tumor	TCGA-HC-7233-01	5.9702
Primary Tumor	TCGA-HC-7736-01	5.2611
Primary Tumor	TCGA-HC-7737-01	4.8607
Solid Tissue Normal	TCGA-HC-7737-11	7.0113
Primary Tumor	TCGA-HC-7738-01	5.6684
Solid Tissue Normal	TCGA-HC-7738-11	8.2595
Primary Tumor	TCGA-HC-7740-01	6.9529
Solid Tissue Normal	TCGA-HC-7740-11	6.8774
Primary Tumor	TCGA-HC-7742-01	6.7134
Solid Tissue Normal	TCGA-HC-7742-11	7.0126
Primary Tumor	TCGA-HC-7744-01	4.3561
Primary Tumor	TCGA-HC-7745-01	5.0992
Solid Tissue Normal	TCGA-HC-7745-11	8.4973
Primary Tumor	TCGA-HC-7747-01	4.2617
Solid Tissue Normal	TCGA-HC-7747-11	7.3216
Primary Tumor	TCGA-HC-7748-01	5.9379
Primary Tumor	TCGA-HC-7749-01	4.7967
Primary Tumor	TCGA-HC-7750-01	7.4241
Primary Tumor	TCGA-HC-7752-01	3.1944
Solid Tissue Normal	TCGA-HC-7752-11	7.8324
Primary Tumor	TCGA-HC-7817-01	4.6142
Primary Tumor	TCGA-HC-7818-01	5.6771
Primary Tumor	TCGA-HC-7819-01	4.1559
Solid Tissue Normal	TCGA-HC-7819-11	7.7965
Primary Tumor	TCGA-HC-7820-01	4.9844
Primary Tumor	TCGA-HC-7821-01	4.2144
Primary Tumor	TCGA-HC-8213-01	0.9932
Primary Tumor	TCGA-HC-8216-01	3.4504
Primary Tumor	TCGA-HC-8256-01	4.3228
Primary Tumor	TCGA-HC-8257-01	3.7098
Primary Tumor	TCGA-HC-8258-01	4.8618
Solid Tissue Normal	TCGA-HC-8258-11	6.4369
Primary Tumor	TCGA-HC-8259-01	6.3849
Solid Tissue Normal	TCGA-HC-8259-11	7.3811
Primary Tumor	TCGA-HC-8260-01	4.7109
Solid Tissue Normal	TCGA-HC-8260-11	6.8339
Primary Tumor	TCGA-HC-8261-01	4.3346
Primary Tumor	TCGA-HC-8262-01	4.1515
Solid Tissue Normal	TCGA-HC-8262-11	6.117
Primary Tumor	TCGA-HC-8264-01	6.9878
Primary Tumor	TCGA-HC-8265-01	4.1205
Primary Tumor	TCGA-HC-8266-01	5.3984
Primary Tumor	TCGA-HC-A48F-01	3.3404
Primary Tumor	TCGA-HC-A4ZV-01	3.2197
Primary Tumor	TCGA-HC-A631-01	2.9404
Primary Tumor	TCGA-HC-A632-01	4.3759
Primary Tumor	TCGA-HC-A6AL-01	2.7932
Primary Tumor	TCGA-HC-A6AN-01	2.1523
Primary Tumor	TCGA-HC-A6AO-01	1.7286
Primary Tumor	TCGA-HC-A6AP-01	3.8567
Primary Tumor	TCGA-HC-A6AQ-01	3.1948
Primary Tumor	TCGA-HC-A6AS-01	4.0057
Primary Tumor	TCGA-HC-A6HX-01	4.0955
Primary Tumor	TCGA-HC-A6HY-01	3.003
Primary Tumor	TCGA-HC-A76W-01	5.6195
Primary Tumor	TCGA-HC-A76X-01	4.8782
Primary Tumor	TCGA-HC-A8CY-01	3.2271
Primary Tumor	TCGA-HC-A8D0-01	5.1726
Primary Tumor	TCGA-HC-A8D1-01	5.301
Primary Tumor	TCGA-HC-A9TE-01	4.6122
Primary Tumor	TCGA-HC-A9TH-01	3.8117
Primary Tumor	TCGA-HI-7168-01	6.6274
Primary Tumor	TCGA-HI-7169-01	7.5419
Primary Tumor	TCGA-HI-7170-01	7.3327
Primary Tumor	TCGA-HI-7171-01	4.4073
Primary Tumor	TCGA-J4-8198-01	6.6365
Primary Tumor	TCGA-J4-8200-01	5.7563
Primary Tumor	TCGA-J4-A67K-01	1.5859
Primary Tumor	TCGA-J4-A67L-01	3.1544
Primary Tumor	TCGA-J4-A67M-01	4.246
Primary Tumor	TCGA-J4-A67N-01	2.5265
Primary Tumor	TCGA-J4-A67O-01	4.0727
Primary Tumor	TCGA-J4-A67Q-01	5.1758
Primary Tumor	TCGA-J4-A67R-01	4.184
Primary Tumor	TCGA-J4-A67S-01	3.0754
Primary Tumor	TCGA-J4-A67T-01	5.0688
Primary Tumor	TCGA-J4-A6G1-01	4.6786
Primary Tumor	TCGA-J4-A6G3-01	4.4375
Primary Tumor	TCGA-J4-A6M7-01	5.8051
Primary Tumor	TCGA-J4-A83I-01	3.6446
Primary Tumor	TCGA-J4-A83J-01	3.1906
Solid Tissue Normal	TCGA-J4-A83J-11	6.843
Primary Tumor	TCGA-J4-A83K-01	7.1751
Primary Tumor	TCGA-J4-A83L-01	6.8343
Primary Tumor	TCGA-J4-A83M-01	4.1252
Primary Tumor	TCGA-J4-A83N-01	3.8566
Primary Tumor	TCGA-J4-AATV-01	6.6839
Primary Tumor	TCGA-J4-AATZ-01	2.7938
Primary Tumor	TCGA-J4-AAU2-01	5.2966
Primary Tumor	TCGA-J9-A52B-01	4.4824
Primary Tumor	TCGA-J9-A52C-01	6.0813
Primary Tumor	TCGA-J9-A52D-01	0
Primary Tumor	TCGA-J9-A52E-01	1.9002
Primary Tumor	TCGA-J9-A8CK-01	4.8813
Primary Tumor	TCGA-J9-A8CL-01	4.5148
Primary Tumor	TCGA-J9-A8CM-01	4.9636
Primary Tumor	TCGA-J9-A8CN-01	3.7917
Primary Tumor	TCGA-J9-A8CP-01	4.0724
Primary Tumor	TCGA-KC-A4BL-01	4.7063
Primary Tumor	TCGA-KC-A4BN-01	5.4426
Primary Tumor	TCGA-KC-A4BR-01	7.2493
Primary Tumor	TCGA-KC-A4BV-01	6.0616
Primary Tumor	TCGA-KC-A7F3-01	4.994
Primary Tumor	TCGA-KC-A7F5-01	1.6872
Primary Tumor	TCGA-KC-A7F6-01	4.773
Primary Tumor	TCGA-KC-A7FA-01	4.8923
Primary Tumor	TCGA-KC-A7FD-01	3.3379
Primary Tumor	TCGA-KC-A7FE-01	7.3739
Primary Tumor	TCGA-KK-A59V-01	0.6106
Primary Tumor	TCGA-KK-A59X-01	3.1617
Primary Tumor	TCGA-KK-A59Y-01	2.8226
Primary Tumor	TCGA-KK-A59Z-01	5.2727
Primary Tumor	TCGA-KK-A5A1-01	2.4483
Primary Tumor	TCGA-KK-A6DY-01	4.4366
Primary Tumor	TCGA-KK-A6E0-01	2.4155
Primary Tumor	TCGA-KK-A6E1-01	1.256
Primary Tumor	TCGA-KK-A6E2-01	4.1533
Primary Tumor	TCGA-KK-A6E3-01	5.2823
Primary Tumor	TCGA-KK-A6E4-01	2.4688
Primary Tumor	TCGA-KK-A6E5-01	4.1908
Primary Tumor	TCGA-KK-A6E6-01	5.1383
Primary Tumor	TCGA-KK-A6E7-01	3.9717
Primary Tumor	TCGA-KK-A6E8-01	3.0076
Primary Tumor	TCGA-KK-A7AP-01	2.9461
Primary Tumor	TCGA-KK-A7AQ-01	2.9266
Primary Tumor	TCGA-KK-A7AU-01	0.8143
Primary Tumor	TCGA-KK-A7AV-01	3.5262
Primary Tumor	TCGA-KK-A7AW-01	0.9298
Primary Tumor	TCGA-KK-A7AY-01	2.5503
Primary Tumor	TCGA-KK-A7AZ-01	2.5282
Primary Tumor	TCGA-KK-A7B0-01	3.3275
Primary Tumor	TCGA-KK-A7B1-01	5.1149
Primary Tumor	TCGA-KK-A7B2-01	3.3927
Primary Tumor	TCGA-KK-A7B3-01	4.1907
Primary Tumor	TCGA-KK-A7B4-01	2.8284
Primary Tumor	TCGA-KK-A8I4-01	4.877
Primary Tumor	TCGA-KK-A8I5-01	5.1656
Primary Tumor	TCGA-KK-A8I6-01	3.697
Primary Tumor	TCGA-KK-A8I7-01	5.9265
Primary Tumor	TCGA-KK-A8I8-01	4.0268
Primary Tumor	TCGA-KK-A8I9-01	2.7859
Primary Tumor	TCGA-KK-A8IA-01	2.6196
Primary Tumor	TCGA-KK-A8IB-01	3.1563
Primary Tumor	TCGA-KK-A8IC-01	5.1369
Primary Tumor	TCGA-KK-A8ID-01	2.883
Primary Tumor	TCGA-KK-A8IF-01	1.5579
Primary Tumor	TCGA-KK-A8IG-01	6.1387
Primary Tumor	TCGA-KK-A8IH-01	2.8131
Primary Tumor	TCGA-KK-A8II-01	2.8677
Primary Tumor	TCGA-KK-A8IJ-01	4.8463
Primary Tumor	TCGA-KK-A8IK-01	1.6908
Primary Tumor	TCGA-KK-A8IL-01	3.9823
Primary Tumor	TCGA-KK-A8IM-01	5.2206
Primary Tumor	TCGA-M7-A71Y-01	5.2557
Primary Tumor	TCGA-M7-A71Z-01	1.5966
Primary Tumor	TCGA-M7-A720-01	6.1708
Primary Tumor	TCGA-M7-A721-01	4.6076
Primary Tumor	TCGA-M7-A722-01	0.762
Primary Tumor	TCGA-M7-A723-01	5.9176
Primary Tumor	TCGA-M7-A724-01	0.474
Primary Tumor	TCGA-M7-A725-01	2.3845
Primary Tumor	TCGA-MG-AAMC-01	2.0936
Primary Tumor	TCGA-QU-A6IL-01	1.2357
Primary Tumor	TCGA-QU-A6IM-01	4.1326
Primary Tumor	TCGA-QU-A6IN-01	1.0659
Primary Tumor	TCGA-QU-A6IO-01	2.6992
Primary Tumor	TCGA-QU-A6IP-01	4.9901
Primary Tumor	TCGA-SU-A7E7-01	5.2874
Primary Tumor	TCGA-TK-A8OK-01	7.1924
Primary Tumor	TCGA-TP-A8TT-01	4.8216
Primary Tumor	TCGA-TP-A8TV-01	3.0426
Primary Tumor	TCGA-V1-A8MF-01	4.9129
Primary Tumor	TCGA-V1-A8MG-01	4.7567
Primary Tumor	TCGA-V1-A8MJ-01	4.8393
Primary Tumor	TCGA-V1-A8MK-01	6.3487
Primary Tumor	TCGA-V1-A8ML-01	5.0036
Primary Tumor	TCGA-V1-A8MM-01	3.0635
Primary Tumor	TCGA-V1-A8MU-01	5.8088
Primary Tumor	TCGA-V1-A8WL-01	6.0291
Primary Tumor	TCGA-V1-A8WN-01	6.3123
Primary Tumor	TCGA-V1-A8WS-01	4.5062
Primary Tumor	TCGA-V1-A8WV-01	3.3498
Primary Tumor	TCGA-V1-A8WW-01	3.2275
Primary Tumor	TCGA-V1-A8X3-01	6.8267
Primary Tumor	TCGA-V1-A9O5-01	2.7678
Primary Tumor	TCGA-V1-A9O7-01	6.4501
Primary Tumor	TCGA-V1-A9O9-01	4.2184
Primary Tumor	TCGA-V1-A9OA-01	7.0467
Primary Tumor	TCGA-V1-A9OF-01	1.9003
Primary Tumor	TCGA-V1-A9OH-01	5.663
Primary Tumor	TCGA-V1-A9OL-01	3.1371
Primary Tumor	TCGA-V1-A9OQ-01	5.5052
Primary Tumor	TCGA-V1-A9OT-01	4.5199
Primary Tumor	TCGA-V1-A9OX-01	4.5729
Primary Tumor	TCGA-V1-A9OY-01	4.9793
Primary Tumor	TCGA-V1-A9Z7-01	5.1953
Primary Tumor	TCGA-V1-A9Z8-01	6.2202
Primary Tumor	TCGA-V1-A9Z9-01	5.4228
Primary Tumor	TCGA-V1-A9ZG-01	4.5695
Primary Tumor	TCGA-V1-A9ZI-01	5.0088
Primary Tumor	TCGA-V1-A9ZK-01	5.9421
Primary Tumor	TCGA-V1-A9ZR-01	5.8461
Primary Tumor	TCGA-VN-A88I-01	7.2548
Primary Tumor	TCGA-VN-A88K-01	4.1813
Primary Tumor	TCGA-VN-A88L-01	5.4544
Primary Tumor	TCGA-VN-A88M-01	2.7735
Primary Tumor	TCGA-VN-A88N-01	2.7063
Primary Tumor	TCGA-VN-A88O-01	4.499
Primary Tumor	TCGA-VN-A88P-01	5.7578
Primary Tumor	TCGA-VN-A88Q-01	3.568
Primary Tumor	TCGA-VN-A88R-01	2.7454
Primary Tumor	TCGA-VN-A943-01	2.5903
Primary Tumor	TCGA-VP-A872-01	4.6347
Primary Tumor	TCGA-VP-A875-01	3.7451
Primary Tumor	TCGA-VP-A876-01	4.1857
Primary Tumor	TCGA-VP-A878-01	5.1134
Primary Tumor	TCGA-VP-A879-01	7.5427
Primary Tumor	TCGA-VP-A87B-01	2.947
Primary Tumor	TCGA-VP-A87C-01	4.9108
Primary Tumor	TCGA-VP-A87D-01	4.1171
Primary Tumor	TCGA-VP-A87E-01	6.126
Primary Tumor	TCGA-VP-A87H-01	4.5094
