sample_type	sampleID	CXCL12
Primary Tumor	TCGA-HC-A76W-01	10.2435
Primary Tumor	TCGA-HC-A76X-01	7.6643
Primary Tumor	TCGA-HC-A8CY-01	8.1466
Primary Tumor	TCGA-HC-A8D0-01	9.5229
Primary Tumor	TCGA-HC-A8D1-01	9.2604
Primary Tumor	TCGA-HC-A9TE-01	9.9439
Primary Tumor	TCGA-HC-A9TH-01	8.6257
Primary Tumor	TCGA-HI-7168-01	10.7208
Primary Tumor	TCGA-HI-7169-01	9.9519
Primary Tumor	TCGA-HI-7170-01	10.7042
Primary Tumor	TCGA-HI-7171-01	7.7096
Primary Tumor	TCGA-J4-8198-01	9.1706
Primary Tumor	TCGA-J4-8200-01	9.3448
Primary Tumor	TCGA-J4-A67K-01	7.6596
Primary Tumor	TCGA-J4-A67L-01	8.3683
Primary Tumor	TCGA-J4-A67M-01	9.7346
Primary Tumor	TCGA-J4-A67N-01	7.8494
Primary Tumor	TCGA-J4-A67O-01	9.9056
Primary Tumor	TCGA-J4-A67Q-01	10.0873
Primary Tumor	TCGA-J4-A67R-01	8.806
Primary Tumor	TCGA-J4-A67S-01	7.8138
Primary Tumor	TCGA-J4-A67T-01	7.9923
Primary Tumor	TCGA-J4-A6G1-01	10.8667
Primary Tumor	TCGA-J4-A6G3-01	8.8901
Primary Tumor	TCGA-J4-A6M7-01	8.699
Primary Tumor	TCGA-J4-A83I-01	8.4783
Primary Tumor	TCGA-J4-A83J-01	10.3994
Solid Tissue Normal	TCGA-J4-A83J-11	10.0012
Primary Tumor	TCGA-J4-A83K-01	8.8807
Primary Tumor	TCGA-J4-A83L-01	9.617
Primary Tumor	TCGA-J4-A83M-01	8.1606
Primary Tumor	TCGA-J4-A83N-01	7.9115
Primary Tumor	TCGA-J4-AATV-01	9.1072
Primary Tumor	TCGA-J4-AATZ-01	8.111
Primary Tumor	TCGA-J4-AAU2-01	9.0375
Primary Tumor	TCGA-J9-A52B-01	8.7279
Primary Tumor	TCGA-J9-A52C-01	9.8236
Primary Tumor	TCGA-J9-A52D-01	8.8129
Primary Tumor	TCGA-J9-A52E-01	9.0692
Primary Tumor	TCGA-J9-A8CK-01	9.1396
Primary Tumor	TCGA-J9-A8CL-01	10.1298
Primary Tumor	TCGA-J9-A8CM-01	9.3889
Primary Tumor	TCGA-J9-A8CN-01	11.5227
Primary Tumor	TCGA-J9-A8CP-01	8.6879
Primary Tumor	TCGA-KC-A4BL-01	9.5758
Primary Tumor	TCGA-KC-A4BN-01	10.8502
Primary Tumor	TCGA-KC-A4BR-01	9.9071
Primary Tumor	TCGA-KC-A4BV-01	9.7955
Primary Tumor	TCGA-KC-A7F3-01	9.4105
Primary Tumor	TCGA-KC-A7F5-01	6.2572
Primary Tumor	TCGA-KC-A7F6-01	8.1813
Primary Tumor	TCGA-KC-A7FA-01	9.0416
Primary Tumor	TCGA-KC-A7FD-01	7.0648
Primary Tumor	TCGA-KC-A7FE-01	10.2877
Primary Tumor	TCGA-KK-A59V-01	9.0854
Primary Tumor	TCGA-KK-A59X-01	8.9725
Primary Tumor	TCGA-KK-A59Y-01	7.5176
Primary Tumor	TCGA-KK-A59Z-01	9.4411
Primary Tumor	TCGA-KK-A5A1-01	10.5624
Primary Tumor	TCGA-KK-A6DY-01	7.9525
Primary Tumor	TCGA-KK-A6E0-01	7.5501
Primary Tumor	TCGA-KK-A6E1-01	6.0995
Primary Tumor	TCGA-KK-A6E2-01	8.53
Primary Tumor	TCGA-KK-A6E3-01	10.2218
Primary Tumor	TCGA-KK-A6E4-01	8.3576
Primary Tumor	TCGA-KK-A6E5-01	8.5485
Primary Tumor	TCGA-KK-A6E6-01	9.2446
Primary Tumor	TCGA-KK-A6E7-01	6.7815
Primary Tumor	TCGA-KK-A6E8-01	8.2494
Primary Tumor	TCGA-KK-A7AP-01	8.0278
Primary Tumor	TCGA-KK-A7AQ-01	8.0595
Primary Tumor	TCGA-KK-A7AU-01	6.676
Primary Tumor	TCGA-KK-A7AV-01	9.2642
Primary Tumor	TCGA-KK-A7AW-01	6.8344
Primary Tumor	TCGA-KK-A7AY-01	8.0856
Primary Tumor	TCGA-KK-A7AZ-01	7.5281
Primary Tumor	TCGA-KK-A7B0-01	8.7142
Primary Tumor	TCGA-KK-A7B1-01	8.8242
Primary Tumor	TCGA-KK-A7B2-01	8.9354
Primary Tumor	TCGA-KK-A7B3-01	9.1486
Primary Tumor	TCGA-KK-A7B4-01	7.9152
Primary Tumor	TCGA-KK-A8I4-01	9.8393
Primary Tumor	TCGA-KK-A8I5-01	8.1049
Primary Tumor	TCGA-KK-A8I6-01	7.763
Primary Tumor	TCGA-KK-A8I7-01	8.2541
Primary Tumor	TCGA-KK-A8I8-01	8.8524
Primary Tumor	TCGA-KK-A8I9-01	10.1716
Primary Tumor	TCGA-KK-A8IA-01	7.1566
Primary Tumor	TCGA-KK-A8IB-01	11.1999
Primary Tumor	TCGA-KK-A8IC-01	8.0807
Primary Tumor	TCGA-KK-A8ID-01	7.4559
Primary Tumor	TCGA-KK-A8IF-01	6.2996
Primary Tumor	TCGA-KK-A8IG-01	9.7803
Primary Tumor	TCGA-KK-A8IH-01	7.9897
Primary Tumor	TCGA-KK-A8II-01	5.9018
Primary Tumor	TCGA-KK-A8IJ-01	9.1941
Primary Tumor	TCGA-KK-A8IK-01	11.6699
Primary Tumor	TCGA-KK-A8IL-01	8.2683
Primary Tumor	TCGA-KK-A8IM-01	8.7243
Primary Tumor	TCGA-M7-A71Y-01	9.2199
Primary Tumor	TCGA-M7-A71Z-01	5.602
Primary Tumor	TCGA-M7-A720-01	8.2611
Primary Tumor	TCGA-M7-A721-01	8.7305
Primary Tumor	TCGA-M7-A722-01	5.842
Primary Tumor	TCGA-M7-A723-01	9.1129
Primary Tumor	TCGA-M7-A724-01	6.3697
Primary Tumor	TCGA-M7-A725-01	6.4806
