sample_type	sampleID	AQP3
Primary Tumor	TCGA-HC-7078-01	10.9102
Primary Tumor	TCGA-HC-7079-01	11.4578
Primary Tumor	TCGA-HC-7080-01	12.6995
Primary Tumor	TCGA-HC-7081-01	9.7848
Primary Tumor	TCGA-HC-7209-01	10.7146
Primary Tumor	TCGA-HC-7210-01	10.897
Primary Tumor	TCGA-HC-7211-01	10.4702
Solid Tissue Normal	TCGA-HC-7211-11	9.0854
Primary Tumor	TCGA-HC-7212-01	9.7774
Primary Tumor	TCGA-HC-7213-01	11.9209
Primary Tumor	TCGA-HC-7230-01	10.9864
Primary Tumor	TCGA-HC-7231-01	10.6849
Primary Tumor	TCGA-HC-7232-01	10.8309
Primary Tumor	TCGA-HC-7233-01	10.246
Primary Tumor	TCGA-HC-7736-01	11.0628
Primary Tumor	TCGA-HC-7737-01	11.3877
Solid Tissue Normal	TCGA-HC-7737-11	11.005
Primary Tumor	TCGA-HC-7738-01	10.8213
Solid Tissue Normal	TCGA-HC-7738-11	8.1227
Primary Tumor	TCGA-HC-7740-01	12.7425
Solid Tissue Normal	TCGA-HC-7740-11	9.9907
Primary Tumor	TCGA-HC-7742-01	12.7068
Solid Tissue Normal	TCGA-HC-7742-11	12.499
Primary Tumor	TCGA-HC-7744-01	10.2202
Primary Tumor	TCGA-HC-7745-01	11.7682
Solid Tissue Normal	TCGA-HC-7745-11	9.2696
Primary Tumor	TCGA-HC-7747-01	12.4473
Solid Tissue Normal	TCGA-HC-7747-11	8.2473
Primary Tumor	TCGA-HC-7748-01	10.8571
Primary Tumor	TCGA-HC-7749-01	12.4424
Primary Tumor	TCGA-HC-7750-01	11.5927
Primary Tumor	TCGA-HC-7752-01	8.4303
Solid Tissue Normal	TCGA-HC-7752-11	11.5256
Primary Tumor	TCGA-HC-7817-01	11.6626
Primary Tumor	TCGA-HC-7818-01	11.7763
Primary Tumor	TCGA-HC-7819-01	10.4384
Solid Tissue Normal	TCGA-HC-7819-11	12.2374
Primary Tumor	TCGA-HC-7820-01	10.9123
Primary Tumor	TCGA-HC-7821-01	13.1236
Primary Tumor	TCGA-HC-8213-01	10.613
Primary Tumor	TCGA-HC-8216-01	10.6528
Primary Tumor	TCGA-HC-8256-01	12.0249
Primary Tumor	TCGA-HC-8257-01	11.0533
Primary Tumor	TCGA-HC-8258-01	12.4126
Solid Tissue Normal	TCGA-HC-8258-11	9.8227
Primary Tumor	TCGA-HC-8259-01	10.621
Solid Tissue Normal	TCGA-HC-8259-11	11.8167
Primary Tumor	TCGA-HC-8260-01	12.1708
Solid Tissue Normal	TCGA-HC-8260-11	12.7987
Primary Tumor	TCGA-HC-8261-01	10.4954
Primary Tumor	TCGA-HC-8262-01	11.127
Solid Tissue Normal	TCGA-HC-8262-11	15.7139
Primary Tumor	TCGA-HC-8264-01	9.3203
Primary Tumor	TCGA-HC-8265-01	12.2072
Primary Tumor	TCGA-HC-8266-01	11.5017
Primary Tumor	TCGA-HC-A48F-01	11.1941
Primary Tumor	TCGA-HC-A4ZV-01	12.1857
Primary Tumor	TCGA-HC-A631-01	10.0212
Primary Tumor	TCGA-HC-A632-01	10.4334
Primary Tumor	TCGA-HC-A6AL-01	12.5674
Primary Tumor	TCGA-HC-A6AN-01	11.2187
Primary Tumor	TCGA-HC-A6AO-01	11.568
Primary Tumor	TCGA-HC-A6AP-01	12.1488
Primary Tumor	TCGA-HC-A6AQ-01	11.9149
Primary Tumor	TCGA-HC-A6AS-01	11.7955
Primary Tumor	TCGA-HC-A6HX-01	12.6989
Primary Tumor	TCGA-HC-A6HY-01	11.03
Primary Tumor	TCGA-HC-A76W-01	11.8504
Primary Tumor	TCGA-HC-A76X-01	9.5365
Primary Tumor	TCGA-HC-A8CY-01	12.3665
Primary Tumor	TCGA-HC-A8D0-01	11.3238
Primary Tumor	TCGA-HC-A8D1-01	11.7807
Primary Tumor	TCGA-HC-A9TE-01	13.0327
Primary Tumor	TCGA-HC-A9TH-01	10.7743
Primary Tumor	TCGA-HI-7168-01	11.889
Primary Tumor	TCGA-HI-7169-01	10.8833
Primary Tumor	TCGA-HI-7170-01	13.6856
Primary Tumor	TCGA-HI-7171-01	12.0473
Primary Tumor	TCGA-J4-8198-01	9.9623
Primary Tumor	TCGA-J4-8200-01	10.9949
Primary Tumor	TCGA-J4-A67K-01	10.25
Primary Tumor	TCGA-J4-A67L-01	10.7312
Primary Tumor	TCGA-J4-A67M-01	12.3488
Primary Tumor	TCGA-J4-A67N-01	11.0556
Primary Tumor	TCGA-J4-A67O-01	10.9561
Primary Tumor	TCGA-J4-A67Q-01	11.0528
Primary Tumor	TCGA-J4-A67R-01	11.8339
Primary Tumor	TCGA-J4-A67S-01	11.5848
Primary Tumor	TCGA-J4-A67T-01	12.1918
Primary Tumor	TCGA-J4-A6G1-01	12.1041
Primary Tumor	TCGA-J4-A6G3-01	12.1136
Primary Tumor	TCGA-J4-A6M7-01	9.3153
Primary Tumor	TCGA-J4-A83I-01	11.6007
Primary Tumor	TCGA-J4-A83J-01	11.0582
Solid Tissue Normal	TCGA-J4-A83J-11	13.4756
Primary Tumor	TCGA-J4-A83K-01	11.0323
Primary Tumor	TCGA-J4-A83L-01	11.3394
Primary Tumor	TCGA-J4-A83M-01	12.0483
Primary Tumor	TCGA-J4-A83N-01	11.8169
Primary Tumor	TCGA-J4-AATV-01	11.6041
Primary Tumor	TCGA-J4-AATZ-01	11.5573
Primary Tumor	TCGA-J4-AAU2-01	11.3717
Primary Tumor	TCGA-J9-A52B-01	10.6179
Primary Tumor	TCGA-J9-A52C-01	11.42
Primary Tumor	TCGA-J9-A52D-01	7.6642
Primary Tumor	TCGA-J9-A52E-01	9.826
Primary Tumor	TCGA-J9-A8CK-01	11.43
Primary Tumor	TCGA-J9-A8CL-01	9.7173
Primary Tumor	TCGA-J9-A8CM-01	11.1053
Primary Tumor	TCGA-J9-A8CN-01	11.0627
Primary Tumor	TCGA-J9-A8CP-01	12.4101
Primary Tumor	TCGA-KC-A4BL-01	12.5197
Primary Tumor	TCGA-KC-A4BN-01	11.8123
Primary Tumor	TCGA-KC-A4BR-01	11.36
Primary Tumor	TCGA-KC-A4BV-01	10.9471
Primary Tumor	TCGA-KC-A7F3-01	11.5947
Primary Tumor	TCGA-KC-A7F5-01	12.6905
Primary Tumor	TCGA-KC-A7F6-01	11.0971
Primary Tumor	TCGA-KC-A7FA-01	10.6771
Primary Tumor	TCGA-KC-A7FD-01	12.1734
Primary Tumor	TCGA-KC-A7FE-01	10.9028
Primary Tumor	TCGA-KK-A59V-01	11.0704
Primary Tumor	TCGA-KK-A59X-01	9.8049
Primary Tumor	TCGA-KK-A59Y-01	10.2413
Primary Tumor	TCGA-KK-A59Z-01	11.7584
Primary Tumor	TCGA-KK-A5A1-01	9.1811
Primary Tumor	TCGA-KK-A6DY-01	11.6736
Primary Tumor	TCGA-KK-A6E0-01	11.9955
Primary Tumor	TCGA-KK-A6E1-01	10.8248
Primary Tumor	TCGA-KK-A6E2-01	10.952
Primary Tumor	TCGA-KK-A6E3-01	11.209
Primary Tumor	TCGA-KK-A6E4-01	10.0035
Primary Tumor	TCGA-KK-A6E5-01	10.4401
Primary Tumor	TCGA-KK-A6E6-01	10.0735
Primary Tumor	TCGA-KK-A6E7-01	11.6552
Primary Tumor	TCGA-KK-A6E8-01	10.3826
Primary Tumor	TCGA-KK-A7AP-01	10.546
Primary Tumor	TCGA-KK-A7AQ-01	11.5235
Primary Tumor	TCGA-KK-A7AU-01	11.0517
Primary Tumor	TCGA-KK-A7AV-01	11.3116
Primary Tumor	TCGA-KK-A7AW-01	10.1484
Primary Tumor	TCGA-KK-A7AY-01	10.5413
Primary Tumor	TCGA-KK-A7AZ-01	11.2456
Primary Tumor	TCGA-KK-A7B0-01	11.2999
Primary Tumor	TCGA-KK-A7B1-01	11.1341
