sample_type	sampleID	GYS2
Primary Tumor	TCGA-KK-A7AQ-01	1.0708
Primary Tumor	TCGA-KK-A7AU-01	0.8143
Primary Tumor	TCGA-KK-A7AV-01	0
Primary Tumor	TCGA-KK-A7AW-01	0.9298
Primary Tumor	TCGA-KK-A7AY-01	0
Primary Tumor	TCGA-KK-A7AZ-01	0
Primary Tumor	TCGA-KK-A7B0-01	0
Primary Tumor	TCGA-KK-A7B1-01	1.2471
Primary Tumor	TCGA-KK-A7B2-01	0
Primary Tumor	TCGA-KK-A7B3-01	0.4684
Primary Tumor	TCGA-KK-A7B4-01	0.7468
Primary Tumor	TCGA-KK-A8I4-01	1.3657
Primary Tumor	TCGA-KK-A8I5-01	0
Primary Tumor	TCGA-KK-A8I6-01	0
Primary Tumor	TCGA-KK-A8I7-01	0
Primary Tumor	TCGA-KK-A8I8-01	0
Primary Tumor	TCGA-KK-A8I9-01	0
Primary Tumor	TCGA-KK-A8IA-01	0.4256
Primary Tumor	TCGA-KK-A8IB-01	0
Primary Tumor	TCGA-KK-A8IC-01	0
Primary Tumor	TCGA-KK-A8ID-01	0
Primary Tumor	TCGA-KK-A8IF-01	0.7208
Primary Tumor	TCGA-KK-A8IG-01	0
Primary Tumor	TCGA-KK-A8IH-01	0
Primary Tumor	TCGA-KK-A8II-01	0.7654
Primary Tumor	TCGA-KK-A8IJ-01	0.8709
Primary Tumor	TCGA-KK-A8IK-01	0
Primary Tumor	TCGA-KK-A8IL-01	0
Primary Tumor	TCGA-KK-A8IM-01	0.5078
Primary Tumor	TCGA-M7-A71Y-01	1.7179
Primary Tumor	TCGA-M7-A71Z-01	0
Primary Tumor	TCGA-M7-A720-01	1.3473
Primary Tumor	TCGA-M7-A721-01	0.5725
Primary Tumor	TCGA-M7-A722-01	0
Primary Tumor	TCGA-M7-A723-01	1.4677
Primary Tumor	TCGA-M7-A724-01	0
Primary Tumor	TCGA-M7-A725-01	0
Primary Tumor	TCGA-MG-AAMC-01	0
Primary Tumor	TCGA-QU-A6IL-01	0
Primary Tumor	TCGA-QU-A6IM-01	0
Primary Tumor	TCGA-QU-A6IN-01	0
Primary Tumor	TCGA-QU-A6IO-01	0
Primary Tumor	TCGA-QU-A6IP-01	0
Primary Tumor	TCGA-SU-A7E7-01	0
Primary Tumor	TCGA-TK-A8OK-01	0
Primary Tumor	TCGA-TP-A8TT-01	0.765
Primary Tumor	TCGA-TP-A8TV-01	0
Primary Tumor	TCGA-V1-A8MF-01	0
Primary Tumor	TCGA-V1-A8MG-01	0
Primary Tumor	TCGA-V1-A8MJ-01	0.5872
Primary Tumor	TCGA-V1-A8MK-01	0.8996
Primary Tumor	TCGA-V1-A8ML-01	0
Primary Tumor	TCGA-V1-A8MM-01	0
Primary Tumor	TCGA-V1-A8MU-01	0.5603
Primary Tumor	TCGA-V1-A8WL-01	6.6199
Primary Tumor	TCGA-V1-A8WN-01	1.0599
Primary Tumor	TCGA-V1-A8WS-01	0
Primary Tumor	TCGA-V1-A8WV-01	0
Primary Tumor	TCGA-V1-A8WW-01	0
Primary Tumor	TCGA-V1-A8X3-01	1.1496
Primary Tumor	TCGA-V1-A9O5-01	0.4036
Primary Tumor	TCGA-V1-A9O7-01	0.7097
Primary Tumor	TCGA-V1-A9O9-01	1.0555
Primary Tumor	TCGA-V1-A9OA-01	0
Primary Tumor	TCGA-V1-A9OF-01	0
Primary Tumor	TCGA-V1-A9OH-01	1.145
Primary Tumor	TCGA-V1-A9OL-01	0
Primary Tumor	TCGA-V1-A9OQ-01	0
Primary Tumor	TCGA-V1-A9OT-01	0
Primary Tumor	TCGA-V1-A9OX-01	0.6137
Primary Tumor	TCGA-V1-A9OY-01	0.5557
Primary Tumor	TCGA-V1-A9Z7-01	0.5154
